term,estimate,std.error,statistic,p.value,Model
COUNTY.xStanislaus,-3.364063761806226e-5,1.8284387546151117e-4,-0.18398558624482694,0.8540253523169432,Log Volume
COUNTY.xSutter,-4.956818589842799e-5,1.931526348717825e-4,-0.2566270241735613,0.7974675460349592,Log Volume
COUNTY.xTehama,-7.892075766564791e-5,1.9785247931649049e-4,-0.3988868774265093,0.689977905617732,Log Volume
COUNTY.xTrinity,-5.150392124061117e-5,1.969984084219178e-4,-0.2614433367923642,0.7937514922833335,Log Volume
COUNTY.xTulare,-8.475201896955557e-5,1.9898205936325184e-4,-0.42592794164843006,0.6701618034044121,Log Volume
COUNTY.xTuolumne,-8.573284587177816e-5,2.1550804032777763e-4,-0.39781738881473994,0.6907661413267211,Log Volume
COUNTY.xVentura,-2.490250501947479e-5,2.2092562333232308e-4,-0.11271895330138179,0.91025373223307815,Log Volume
COUNTY.xYolo,-3.5266793354423854e-5,1.800793271348228e-4,-0.19584032168234455,0.8447357782122207,Log Volume
COUNTY.xYuba,-7.242982366089591e-5,1.9900218332254222e-4,-0.36396496988930943,0.7158853846908926,Log Volume
(Intercept),0.38226273369111347,0.005522556278226352,69.21844059756374,0,Log Intensity
LATITUDE,8.974159159027851e-5,5.147699854578631e-5,1.7433338019981426,0.08128018388976756,Log Intensity
LONGITUDE,1.1740516779074285e-4,4.3110617903061703e-5,2.723346903881996,0.006464188791894382,Log Intensity
WATER_RIGHT_TYPE.xStatement of Div and Use,-0.37132026859772244,7.733975388673953e-4,-480.1156584251661,0,Log Intensity
COUNTY.xAlpine,-3.422181337288674e-4,4.714833542537834e-4,-0.725832907230619,0.46794389693486427,Log Intensity
COUNTY.xAmador,-2.0904806416209527e-4,3.666049808956704e-4,-0.5702270156050794,0.5685257608280088,Log Intensity
COUNTY.xButte,2.898369254667781e-4,3.487983922605195e-4,0.8309583183236041,0.40600031375026846,Log Intensity
COUNTY.xCalaveras,-2.1925768176065243e-4,3.49781147989396e-4,-0.626842478564052,0.5307647585003658,Log Intensity
COUNTY.xColusa,-1.4111328828533576e-4,3.365528659759293e-4,-0.41929011026585156,0.6750055475825916,Log Intensity
COUNTY.xContra Costa,-6.612597576987917e-5,3.302379649040765e-4,-0.2002373524470048,0.8412955995199066,Log Intensity
COUNTY.xDel Norte,-1.6393494856629725e-4,4.3216487542638835e-4,-0.37933427237591566,0.7044409260550746,Log Intensity
COUNTY.xEl Dorado,-2.51203606884678e-4,3.523742609910662e-4,-0.7128886377176307,0.4759173010197105,Log Intensity
COUNTY.xFresno,-1.7733396298953417e-4,3.7129123745846006e-4,-0.47761418826743585,0.6329264812395496,Log Intensity
COUNTY.xGlenn,-1.686146793274873e-4,3.7346382137850507e-4,-0.4514886574691704,0.6516389463601054,Log Intensity
COUNTY.xHumboldt,-2.5120380984002227e-5,3.5757661306819383e-4,-0.07025174484554864,0.9439935117257009,Log Intensity
COUNTY.xInyo,-3.9086103057204945e-4,3.8179682937144956e-4,-1.0237409022372508,0.30596158648761196,Log Intensity
COUNTY.xKern,-1.5095612453363714e-4,3.715734583363297e-4,-0.4062618606009238,0.6845515802279469,Log Intensity
COUNTY.xKings,-1.4626170190411113e-4,3.9604854393829206e-4,-0.36930246087939167,0.7119035279431218,Log Intensity
COUNTY.xLake,-2.9317091006336555e-5,3.4389682189844595e-4,-0.08524967123713055,0.9320631722023115,Log Intensity
COUNTY.xLassen,-4.363779375027536e-4,3.7143381183953e-4,-1.1748471022107199,0.2400603154025309,Log Intensity
COUNTY.xLos Angeles,-1.590422011890327e-4,4.31863885281194e-4,-0.3682692779125941,0.7126736905882975,Log Intensity
COUNTY.xMadera,-6.793474672164023e-6,3.503488311068636e-4,-0.019390601791652255,0.9845295688573277,Log Intensity
COUNTY.xMarin,4.815941115125737e-5,3.7567813807499946e-4,0.12819327576001494,0.8979964289587498,Log Intensity
COUNTY.xMariposa,-2.242775252069841e-4,4.4122554200248755e-4,-0.5083058523518561,0.6112406394790323,Log Intensity
COUNTY.xMendocino,1.7121291885859376e-5,3.3685887802769265e-4,0.05082630443378684,0.9594640905770986,Log Intensity
COUNTY.xMerced,-1.320490507154585e-4,3.3432203320167043e-4,-0.39497561513034823,0.6928622163435478,Log Intensity
COUNTY.xModoc,-4.811166787270864e-4,3.866613439577728e-4,-1.2442844009243113,0.21339952166233736,Log Intensity
COUNTY.xMono,-3.7727494417103046e-4,3.632678229915052e-4,-1.0385586619375666,0.2990140103577424,Log Intensity
COUNTY.xMonterey,4.0109287684908405e-5,3.3554808876165386e-4,0.11953364965639482,0.9048529622644509,Log Intensity
COUNTY.xNapa,-2.4726394256373398e-5,3.3246454382020906e-4,-0.07437302628500739,0.9407138064861967,Log Intensity
COUNTY.xNevada,-2.8457703854059324e-4,3.413650718360581e-4,-0.8336442771077132,0.4044846157637181,Log Intensity
COUNTY.xOrange,-1.442842705286353e-4,4.7232399630605136e-4,-0.3054773241610692,0.76000364325147,Log Intensity
COUNTY.xPlacer,-2.3882854319829977e-4,3.4256595695261857e-4,-0.6971753566024453,0.4856956220367197,Log Intensity
COUNTY.xPlumas,-3.3953142259892326e-4,3.599578822091693e-4,-0.943253195388075,0.34555501339711114,Log Intensity
COUNTY.xRiverside,-2.3294770997119891e-4,4.714266176004394e-4,-0.4941335539280796,0.6212135786259874,Log Intensity
COUNTY.xSacramento,-1.039577069365615e-4,3.262995823047791e-4,-0.31859589338812005,0.7500340200362443,Log Intensity
COUNTY.xSan Benito,-5.081982624456585e-7,4.1790250750428095e-4,-0.00121606894746965,0.9990297214367991,Log Intensity
COUNTY.xSan Bernardino,-2.642410155886704e-4,4.721406360470256e-4,-0.5596659033651824,0.5757093256760772,Log Intensity
COUNTY.xSan Diego,-1.835868224113105e-4,4.579961744764662e-4,-0.40084793856884926,0.688533436061477,Log Intensity
COUNTY.xSan Francisco,4.662002396199075e-5,0.0010172057528941086,0.045831459200215426,0.9634447290451928,Log Intensity
COUNTY.xSan Joaquin,-9.698753137273016e-5,3.2409257017361665e-4,-0.2992587312963511,0.76474362356242,Log Intensity
COUNTY.xSan Luis Obispo,6.169483028922105e-5,3.5321489651943743e-4,0.17466655822605145,0.8613422055830395,Log Intensity
COUNTY.xSan Mateo,6.789377418784196e-5,3.3534308043804483e-4,0.20246063851729137,0.8395572783774149,Log Intensity
COUNTY.xSanta Barbara,5.209946891079754e-5,3.8547767013008674e-4,0.13515560808805238,0.8924892747236295,Log Intensity
COUNTY.xSanta Clara,2.9364635647669956e-5,3.7311743829912823e-4,0.07870078595503309,0.9372708693214558,Log Intensity
COUNTY.xSanta Cruz,5.458154527050979e-5,3.4861874602776314e-4,0.15656514714834943,0.8755880720491166,Log Intensity
COUNTY.xShasta,-2.9771867747172074e-4,3.6055413743798316e-4,-0.8257253115641465,0.40896304543788586,Log Intensity
COUNTY.xSierra,-3.234039190297285e-4,3.8654602428326624e-4,-0.836650485875218,0.4027922199713544,Log Intensity
COUNTY.xSiskiyou,-4.954513451350795e-4,3.803599566052715e-4,-1.3025854497329412,0.19272107130831864,Log Intensity
COUNTY.xSolano,-8.89745639248109e-5,3.343053360162422e-4,-0.26614760322129016,0.7901264022249368,Log Intensity
COUNTY.xSonoma,1.947924355694047e-5,3.2882496517208415e-4,0.05923894357214145,0.9527619787839201,Log Intensity
COUNTY.xStanislaus,-1.1611795658118163e-4,3.3453274132754955e-4,-0.3471049085371514,0.7285136610398477,Log Intensity
COUNTY.xSutter,-1.502649666973281e-4,3.5366437826011665e-4,-0.42488012911158873,0.6709255064276058,Log Intensity
COUNTY.xTehama,-2.3284567574299563e-4,3.6218188939875657e-4,-0.6428970706667119,0.5202932211862322,Log Intensity
COUNTY.xTrinity,-1.3864088920578134e-4,3.609026409609257e-4,-0.38415038703136495,0.70086827928923,Log Intensity
COUNTY.xTulare,-2.2394160874407676e-4,3.6452476161367644e-4,-0.6143385369836966,0.5389938519927395,Log Intensity
COUNTY.xTuolumne,-2.2392240224137933e-4,3.9481262752097006e-4,-0.5671611965589574,0.570606681760404,Log Intensity
COUNTY.xVentura,-5.4454561080514946e-5,4.0472092148230335e-4,-0.1345484213691582,0.892969352611343,Log Intensity
COUNTY.xYolo,-1.1666308657823752e-4,3.296003657789992e-4,-0.3539531465704181,0.7233751766686917,Log Intensity
COUNTY.xYuba,-2.1367974887707514e-4,3.643144638953363e-4,-0.5865255707730097,0.5575244765165679,Log Intensity
