Model,RMSE_log,MAE_log,RMSE_backtransform_approx,MAE_backtransform_approx
Log Volume,0.0014264502875119235,3.604176673473028e-5,0.0014274681516432861,3.604241624700813e-5
Log Intensity,0.0026738276013209116,6.876603320827754e-5,0.0026774054664959247,6.876839764613651e-5
